,Glottocode,Name,Top-level family,ISO-639-3,Macroarea,Child dialects,Latitude,Longtitude
1,aari1239,Aari,South Omotic,aiw,Africa,0,5.95,36.57
2,aari1240,Aariya,Bookkeeping,aay,Eurasia,0,,
3,aasa1238,Aasax,Afro-Asiatic,aas,Africa,0,-4.01,36.86
4,abad1241,Abadi,Austronesian,kbt,Papunesia,0,-9.03,146.99
5,abag1245,Abaga,Nuclear Trans New Guinea,abg,Papunesia,0,-6.12,145.66
6,abai1240,Abai Sungai,Austronesian,abf,Papunesia,0,5.55,118.31
7,abai1241,Abai Tubu-Abai Sembuak,Austronesian,,Papunesia,0,3.52,116.16
8,aban1242,Abanyom,Atlantic-Congo,abm,Africa,0,6.31,8.63
9,abar1238,Mungbam,Atlantic-Congo,mij,Africa,6,6.58,10.23
10,abau1245,Abau,Sepik,aau,Papunesia,0,-3.97,141.32
11,abaz1241,Abaza,Abkhaz-Adyge,abq,Eurasia,3,44.25,42
12,abee1242,Abé,Atlantic-Congo,aba,Africa,4,5.6,-4.38
13,aben1249,Abenlen Ayta,Austronesian,abp,Papunesia,0,15.41,120.2
14,abid1235,Abidji,Atlantic-Congo,abi,Africa,2,5.66,-4.58
15,abin1243,Abinomn,,bsa,Papunesia,0,-2.92,138.89
16,abip1241,Abipon,Guaicuruan,axb,South America,0,-29,-61
17,abis1238,Aewa,,ash,South America,0,-1.28,-75.08
18,abkh1244,Abkhaz,Abkhaz-Adyge,abk,Eurasia,3,43.06,41.16
19,abom1238,Abom,Anim,aob,Papunesia,0,-8.42,142.84
20,abon1238,Abon,Atlantic-Congo,abo,Africa,0,6.91,10.88
21,abro1238,Abron,Atlantic-Congo,abr,Africa,0,7.72,-2.5
22,abua1244,Abua,Atlantic-Congo,abn,Africa,4,4.83,6.61
23,abua1245,Abu' Arapesh,Nuclear Torricelli,aah,Papunesia,0,-3.46,142.92
24,abui1241,Abui,Timor-Alor-Pantar,abz,Papunesia,4,-8.31,124.59
25,abun1252,Abun,,kgr,Papunesia,3,-0.57,132.42
26,abur1243,Abure,Atlantic-Congo,abu,Africa,0,5.22,-3.64
27,abur1244,Abureni,Atlantic-Congo,mgj,Africa,0,4.62,6.51
28,abuu1241,Abu,Ramu,ado,Papunesia,3,-4.24,144.47
29,acat1239,Acatepec Me'phaa,Otomanguean,tpx,North America,3,17.1,-99.06
30,acha1249,Longchuan Achang,Sino-Tibetan,acn,Eurasia,3,24.35,97.74
31,acha1250,Achagua,Arawakan,aca,South America,0,4.39,-72.2
32,ache1244,Ache,Sino-Tibetan,yif,Eurasia,0,24.15,102.45
33,ache1245,Acheron,Narrow Talodi,acz,Africa,2,10.88,30.32
34,ache1246,Aché,Tupian,guq,South America,0,-25.59,-56.47
35,achi1256,Achi,Mayan,acr,North America,0,15.07,-90.35
36,achi1257,Acehnese,Austronesian,ace,Papunesia,7,3.91,96.6
37,achi1258,"Achi', Cubulco",Bookkeeping,acc,North America,0,,
38,achu1247,Achumawi,Palaihnihan,acv,North America,0,41.1,-121.19
39,achu1248,Achuar-Shiwiar,Chicham,acu,South America,2,-2.83,-77.26
40,acol1236,Acoli,Nilotic,ach,Africa,3,3.58,32.51
41,acro1239,Acroá,Nuclear-Macro-Je,acs,South America,0,-12.59,-40.21
42,adab1235,Adabe,Bookkeeping,adb,Papunesia,0,-8.23,125.58
43,adai1235,Adai,,xad,North America,0,31.63,-92.01
44,adam1238,Adamorobe Sign Language,Sign Language,ads,Africa,0,5.83,-0.15
45,adam1253,Adamawa Fulfulde,Atlantic-Congo,fub,Africa,6,8.14,13.08
46,adan1247,Adangme,Atlantic-Congo,ada,Africa,6,5.94,0.13
47,adan1248,Adangbe,Atlantic-Congo,adq,Africa,0,6.51,0.73
48,adan1251,Adang,Timor-Alor-Pantar,adn,Papunesia,1,-8.19,124.45
49,adap1234,Adap,Bookkeeping,adp,Eurasia,0,27.14,90.34
50,adas1235,Adasen,Austronesian,tiu,Papunesia,2,17.82,120.91
51,adel1244,Adele,Atlantic-Congo,ade,Africa,2,8.17,0.62
52,adha1238,Adhari,Indo-European,,Eurasia,0,40.05,48.06
53,adho1243,Adhola,Nilotic,adh,Africa,0,0.73,34.03
54,adio1239,Adioukrou,Atlantic-Congo,adj,Africa,0,5.38,-4.53
55,adiv1239,Kotia-Adivasi Oriya-Desiya,Indo-European,ort,Eurasia,0,18.1,82.85
56,adiw1235,Adiwasi Garasia,Indo-European,gas,Eurasia,0,24.07,73.14
57,adny1235,Adnyamathanha,Pama-Nyungan,adt,Australia,0,-30.15,138.67
58,adon1237,Adonara,Austronesian,adr,Papunesia,10,-8.32,123.16
59,adug1238,Aduge,Bookkeeping,adu,Africa,0,7.65,6.13
60,adur1234,Adurgari,Speech Register,,Eurasia,0,33.79,69.32
61,adyg1241,West Circassian,Abkhaz-Adyge,ady,Eurasia,6,44,39.33
62,adze1240,Adzera,Austronesian,adz,Papunesia,0,-6.39,146.29
63,adze1241,Adzera (Retired),Bookkeeping,azr,,0,,
64,aeka1244,Aeka,Nuclear Trans New Guinea,aez,Papunesia,0,-8.86,147.99
65,aeky1238,Aekyom,Kamula-Elevala,awi,Papunesia,3,-5.88,141.53
66,aerr1238,Aer,Indo-European,aeq,Eurasia,2,25.25,69.03
67,afad1236,Afade,Afro-Asiatic,aal,Africa,0,12.06,14.63
68,afar1241,Afar,Afro-Asiatic,aar,Africa,4,12.23,41.81
69,afgh1239,Afghan Sign Language,Sign Language,afg,Eurasia,0,34.43,70.45
70,afgh1240,Afghanistan Gorbat,Mixed Language,,Eurasia,0,,
71,afit1238,Afitti,Nyimang,aft,Africa,0,12.45,30.76
72,afri1274,Afrikaans,Indo-European,afr,Africa,3,-22,30
73,afri1275,Afrihili,Artificial Language,afh,Africa,0,,
74,afro1254,Afro-Seminole Creole,Indo-European,afs,North America,0,31.78,-99.29
75,afud1235,Afudu,Atlantic-Congo,,Africa,0,9.83,11.3
76,agar1251,Agariya,Unattested,agi,Eurasia,0,24.5,82.3
77,agar1252,Agarabi,Nuclear Trans New Guinea,agd,Papunesia,0,-6.21,145.92
78,agat1236,Agatu,Atlantic-Congo,agc,Africa,0,7.98,7.72
79,agav1236,Agavotaguerra,Unattested,avo,South America,0,-13.3,-53.44
80,agbi1234,Agbirigba,Speech Register,,Africa,0,,
81,aghe1239,Aghem,Atlantic-Congo,agq,Africa,0,6.39,10.08
82,aghu1253,Aghul,Nakh-Daghestanian,agx,Eurasia,6,41.92,47.58
83,aghu1254,Aghu Tharnggalu,Pama-Nyungan,ggr,Australia,0,-13.73,142.43
84,aghu1255,Aghu,Nuclear Trans New Guinea,ahh,Papunesia,0,-6.35,140.04
85,aghu1256,Aghu Tharnggalu (Retired),Bookkeeping,gtu,Australia,0,-15,144
86,aghw1237,Aghwan,Nakh-Daghestanian,xag,Eurasia,0,40.37,47.13
87,agii1245,Agi,Nuclear Torricelli,aif,Papunesia,0,-3.49,142.39
88,agob1244,Agob-Ende-Kawam,Pahoturi,kit,Papunesia,3,-9.09,142.53
89,agoi1246,Robambami,Atlantic-Congo,ibm,Africa,2,5.88,8.22
90,agta1234,Agta-Pahanan,Austronesian,apf,Papunesia,0,17.05,122.28
91,agua1251,Aguano,Unattested,aga,South America,0,-5.25,-75.83
92,agua1252,Aguacateco,Mayan,agu,North America,0,15.33,-91.32
93,agua1253,Aguaruna,Chicham,agr,South America,0,-5.3,-77.92
94,agun1238,Aguna,Atlantic-Congo,aug,Africa,0,7.49,1.74
95,agus1235,Agusan Manobo,Austronesian,msm,Papunesia,3,8.63,125.74
96,agut1237,Agutaynen,Austronesian,agn,Papunesia,0,10.53,119.66
97,agwa1247,Agwagwune,Atlantic-Congo,yay,Africa,7,5.81,8.03
98,ahan1243,Ahanta,Atlantic-Congo,aha,Africa,0,4.85,-1.95
99,ahan1244,Àhàn,Atlantic-Congo,ahn,Africa,0,7.44,6.01
100,ahea1240,Ahe,Bookkeeping,ahe,,0,,
101,,,,,,,,
102,aher1237,Aheri Gondi,Dravidian,esg,Eurasia,3,19.42,80.01
103,aheu1239,Thavung,Austroasiatic,thm,Eurasia,0,17.77,104.23
104,ahin1234,Ahin-Kayapa Kalanguya,Austronesian,kak,Papunesia,2,16.32,120.9
105,ahir1243,Ahirani,Bookkeeping,ahr,Eurasia,0,21.55,73.69
106,ahom1240,Ahom,Tai-Kadai,aho,Eurasia,0,27.28,88.46
107,ahte1237,Ahtena,Athabaskan-Eyak-Tlingit,aht,North America,5,61.71,-144.89
108,ahwa1235,Ndunic,Atlantic-Congo,nfd,Africa,0,9.18,8.56
109,aich1238,Ai-Cham,Tai-Kadai,aih,Eurasia,2,25.49,107.84
110,aigh1235,Aighon,Austronesian,aix,Papunesia,3,-5.99,150.27
111,aika1237,Aikanã,,tba,South America,1,-12.67,-60.54
112,aikl1237,Aiklep,Austronesian,mwg,Papunesia,0,-6.24,149.57
113,aiku1240,Aiku,Bookkeeping,mzf,,0,,
114,aima1241,Aimaq,Indo-European,aiq,Eurasia,10,35.28,59.18
115,aime1238,Aimele,Bosavi,ail,Papunesia,0,-6.69,142.66
116,aimo1244,Aimol,Sino-Tibetan,aim,Eurasia,2,24.64,94.36
117,ainb1238,Ainbai,Border,aic,Papunesia,0,-3.09,141.15
118,ainu1240,Hokkaido Ainu,Ainu,ain,Eurasia,2,43.63,142.46
119,ainu1251,Ainu (China),Turkic,aib,Eurasia,2,39.27,76.42
120,aiom1240,Aiome,Ramu,aki,Papunesia,0,-5.13,144.76
121,airo1242,Airoran,Greater Kwerba,air,Papunesia,0,-1.85,138.16
122,aito1238,Aiton,Tai-Kadai,aio,Eurasia,0,26.51,92.32
123,ajab1235,Aja (Benin),Atlantic-Congo,ajg,Africa,4,7.07,1.65
124,ajas1235,Aja (South Sudan),Kresh-Aja,aja,Africa,0,8.58,25.61
125,ajaw1236,Ajawa,Afro-Asiatic,ajw,Africa,0,10.21,9.89
126,ajie1238,Ajië,Austronesian,aji,Papunesia,0,-21.3,165.47
127,ajyi1238,Ajyíninka Apurucayali,Arawakan,cpc,South America,0,-9.82,-74.62
128,akaa1242,Aka,Eastern Jebel,soh,Africa,0,11.21,33.65
129,akab1248,Akabo,Great Andamanese,akm,Eurasia,0,12.36,92.8
130,akab1249,Akabea,Great Andamanese,abj,Eurasia,0,12.38,92.78
131,akac1240,Akacari,Great Andamanese,aci,Eurasia,0,13.49,92.95
132,akaj1239,Akajeru,Great Andamanese,akj,Eurasia,1,13.15,92.95
133,akak1251,Akakora,Great Andamanese,ack,Eurasia,0,12.09,92.75
134,akak1252,Akakede,Great Andamanese,akx,Eurasia,0,12.85,92.82
135,akak1253,Akakol,Great Andamanese,aky,Eurasia,0,12.73,92.79
136,akan1250,Akan,Atlantic-Congo,aka,Africa,10,6.35,-1.33
137,akar1243,Akarbale,Great Andamanese,acl,Eurasia,0,12.67,92.83
138,akas1242,Akaselem,Atlantic-Congo,aks,Africa,0,8.89,1.37
139,akaw1239,Akawaio-Ingariko,Cariban,ake,South America,2,6.16,-60.86
140,akeb1238,Akebu,Atlantic-Congo,keu,Africa,0,7.78,0.78
141,akee1238,Akye,Atlantic-Congo,aik,Africa,0,8.6,8.76
142,akei1237,Akei,Austronesian,tsr,Papunesia,0,-15.64,166.77
143,akeu1235,Akeu,Sino-Tibetan,aeu,Eurasia,0,22.2,101.08
144,akha1245,Akha,Sino-Tibetan,ahk,Eurasia,2,21.23,100.96
145,akhv1239,Northern Akhvakh,Nakh-Daghestanian,akv,Eurasia,2,42.4,46.3
146,akka1237,Akkala Saami,Uralic,sia,Eurasia,0,67.86,32.4
147,akka1240,Akkadian,Afro-Asiatic,akk,Eurasia,11,33.1,44.1
148,akkk1240,Ak,Sepik,akq,Papunesia,0,-3.57,141.78
149,akla1240,Aklanon,Austronesian,akl,Papunesia,4,11.55,122.35
150,akol1237,Akolet,Austronesian,akt,Papunesia,0,-6.23,150.18
151,akoo1248,Akoose,Atlantic-Congo,bss,Africa,7,4.92,9.66
152,akoy1238,Akoye,Angan,miw,Papunesia,0,-7.66,145.67
153,akpa1238,Akpa,Atlantic-Congo,akf,Africa,0,7.33,8.02
154,akpe1248,Akpes,Atlantic-Congo,ibe,Africa,9,7.5,5.96
155,akpo1243,Akpondu,Atlantic-Congo,,Africa,0,9.24,8.55
156,akru1241,Chini,Ramu,afi,Papunesia,0,-4.89,144.82
157,akuk1235,Akuku,Atlantic-Congo,ayk,Africa,0,7.4,6.34
158,akum1238,Akum,Atlantic-Congo,aku,Africa,0,6.86,9.96
159,akun1241,Akuntsu,Tupian,aqz,South America,0,-12.83,-60.97
160,akur1238,Akurio,Cariban,ako,South America,0,3.2,-55.63
161,akwa1248,Akwa,Atlantic-Congo,akw,Africa,0,-0.4,15.46
162,akya1234,Akyaung Ari Naga,Bookkeeping,nqy,Eurasia,0,,
163,alab1237,Alabama,Muskogean,akz,North America,0,30.77,-94.63
164,alab1246,Alabat Island Agta,Austronesian,dul,Papunesia,0,14.12,122.01
165,alab1254,Alaba-K'abeena,Afro-Asiatic,alw,Africa,0,7.39,38.17
166,alac1239,Alacalufe-Austral,Kawesqar,,South America,0,-54.79,-70.14
167,alac1240,Alacalufe-Central,Kawesqar,,South America,0,-53.44,-71.04
168,alac1244,Alacatlatzala Mixtec,Otomanguean,mim,North America,5,17.25,-98.58
169,alag1242,Alago,Atlantic-Congo,ala,Africa,4,8.35,8.52
170,alag1248,Alagwa,Afro-Asiatic,wbj,Africa,0,-4.64,35.72
171,alag1249,Alaguilac,Bookkeeping,,North America,0,,
172,alak1253,Alak,Austroasiatic,alk,Eurasia,0,15.56,106.6
173,alam1246,Alamblak,Sepik,amp,Papunesia,2,-4.66,143.32
174,alan1249,Alangan,Austronesian,alj,Papunesia,0,13.1,121.02
175,alap1235,Alapmunte,Unattested,apv,South America,0,-12.33,-60
176,alaw1244,Alawa,Mangarrayi-Maran,alh,Australia,0,-15.55,134.28
177,alba1269,Inland-Buhi-Daraga Bikol,Austronesian,bhk,Papunesia,5,13.2,123.49
178,alba1271,Albanian Sign Language,Sign Language,sqk,Eurasia,0,41.33,19.82
179,alba1273,Albarradas Sign Language,Sign Language,lsc,North America,0,17.06,-96.3
180,alco1235,Alcozauca Mixtec,Otomanguean,xta,North America,2,17.37,-98.4
181,aleg1238,Alege,Atlantic-Congo,alf,Africa,0,6.59,9
182,alek1238,Alekano,Nuclear Trans New Guinea,gah,Papunesia,0,-6.04,145.39
183,aleu1260,Aleut,Eskimo-Aleut,ale,North America,2,52.12,-174.29
184,alge1235,Algerian Sign Language,Sign Language,asp,Africa,0,36.48,3.55
185,alge1239,Algerian Arabic,Afro-Asiatic,arq,Africa,3,35.42,3.23
186,alge1240,Algerian Saharan Arabic,Afro-Asiatic,aao,Africa,0,20.89,4.81
187,algo1255,Algonquin,Algic,alq,North America,2,47.39,-77.53
188,alii1240,Ali,Atlantic-Congo,aiy,Africa,0,4.6,18.04
189,alip1234,Alipur Sign Language,Sign Language,,Eurasia,0,16.84,77.11
190,alla1247,Allar,Dravidian,all,Eurasia,0,11.08,76.66
191,alla1248,Alladian,Atlantic-Congo,ald,Africa,0,5.22,-4.43
192,alle1238,Allentiac,Huarpean,,South America,0,-33.48,-68.1
193,alng1239,Alngith,Pama-Nyungan,aid,Australia,0,-12.53,141.94
194,aloa1235,Aloápam Zapotec,Otomanguean,zaq,North America,0,17.41,-96.74
195,alop1235,Alo Phola,Sino-Tibetan,ypo,Eurasia,0,23.59,101.93
196,alor1247,Alorese,Austronesian,aol,Papunesia,0,-8.2,124.26
197,alsa1242,Al-Sayyid Bedouin Sign Language,Sign Language,syy,Eurasia,0,31.28,34.92
198,alse1251,Alsea-Yaquina,,aes,North America,2,44.41,-123.94
199,alug1235,Alugu,Sino-Tibetan,aub,Eurasia,0,23,103
200,aluk1238,Alu Kurumba,Dravidian,xua,Eurasia,0,11.35,76.8
201,alum1246,Arum,Atlantic-Congo,aab,Africa,2,9.02,8.56
202,,,,,,,,
203,alun1238,Alune,Austronesian,alp,Papunesia,5,-3.11,128.39
204,aluo1235,Aluo,Sino-Tibetan,yna,Eurasia,0,26,102
205,alur1250,Alur,Nilotic,alz,Africa,4,2.36,31
206,alut1245,Alutor,Chukotko-Kamchatkan,alr,Eurasia,3,60.38,165.65
207,alvi1241,Alviri-Vidari,Indo-European,avd,Eurasia,2,35.01,50.38
208,alya1239,Alyawarr,Pama-Nyungan,aly,Australia,0,-21.04,136.84
209,amah1245,Amahai,Austronesian,amq,Papunesia,3,-3.32,128.94
210,amah1246,Amahuaca,Pano-Tacanan,amc,South America,2,-10.2,-72.32
211,amai1246,Amaimon,Nuclear Trans New Guinea,ali,Papunesia,0,-5.19,145.37
212,amal1242,Amal,Sepik,aad,Papunesia,0,-4.05,142
213,amam1246,Amam,Kunimaipan,,Papunesia,0,-7.9,146.92
214,amam1247,Amami O Shima Sign Language,Sign Language,jks,Eurasia,0,28.27,129.36
215,aman1265,Amanab,Border,amn,Papunesia,0,-3.52,141.18
216,aman1266,Amanayé,Tupian,ama,South America,0,-3.8,-48.66
217,amap1240,Ama (Papua New Guinea),Left May,amm,Papunesia,0,-4.2,141.66
218,amap1241,Amapá Creole,Bookkeeping,amd,,0,,
219,amar1271,Amurdak,Iwaidjan Proper,amg,Australia,0,-11.99,132.88
220,amar1272,Amara,Austronesian,aie,Papunesia,0,-5.56,148.68
221,amar1273,Amarasi,Austronesian,aaz,Papunesia,5,-10.22,123.96
222,amar1274,Amarakaeri,Harakmbut,amr,South America,2,-12.49,-70.55
223,amas1236,Ama (Sudan),Nyimang,nyi,Africa,0,12.1,29.43
224,amat1238,Amatlán Zapotec,Otomanguean,zpo,North America,0,16.27,-96.4
225,amba1263,Amba (Uganda),Atlantic-Congo,rwm,Africa,3,0.81,30
226,amba1265,Ambai,Austronesian,amk,Papunesia,3,-1.88,136.53
227,amba1266,Amba (Solomon Islands),Austronesian,utp,Papunesia,0,-11.3,166.5
228,amba1267,Ambala Ayta,Austronesian,abc,Papunesia,0,14.82,120.28
229,amba1269,Ambakich,Keram,aew,Papunesia,2,-4.23,144.28
230,ambe1246,Ambermo,Unclassifiable,,Papunesia,0,-1.76,137.9
231,ambe1247,Ambele,Atlantic-Congo,ael,Africa,0,5.94,9.62
232,ambe1248,Ambelau,Austronesian,amv,Papunesia,0,-3.86,127.2
233,ambl1237,Amblong,Austronesian,alm,Papunesia,0,-15.52,166.95
234,ambo1249,Ambo,Atlantic-Congo,amb,Africa,0,7.08,10.78
235,ambo1250,Ambonese Malay,Austronesian,abs,Papunesia,3,-3.71,128.18
236,ambo1252,Ambo-Pasco Quechua,Quechuan,qva,South America,0,-10.51,-76.11
237,ambr1239,Ambrak,Nuclear Torricelli,aag,Papunesia,0,-3.61,142.56
238,ambu1247,Ambulas,Ndu,abt,Papunesia,4,-3.78,143.06
239,amda1238,Amdang,Furan,amj,Africa,0,14.75,20.89
240,amdo1237,Amdo Tibetan,Sino-Tibetan,adx,Eurasia,25,34.52,100.48
241,amel1241,Amele,Nuclear Trans New Guinea,aey,Papunesia,3,-5.29,145.69
242,amer1248,American Sign Language,Sign Language,ase,North America,2,33.81,-81.61
243,amer1255,American Indian Pidgin English,Pidgin,,North America,0,,
244,amer1256,Amerax,Bookkeeping,aex,,0,,
245,amga1235,Amganad Ifugao,Austronesian,ifa,Papunesia,2,16.9,121.04
246,amha1245,Amharic,Afro-Asiatic,amh,Africa,5,11.71,39.54
247,amii1238,Ami,Western Daly,amy,Australia,0,-13.56,130.04
248,amik1238,Amikoana,Bookkeeping,akn,,0,,
249,amis1246,Amis,Austronesian,ami,Papunesia,4,23.09,121.35
250,amol1235,Mol,Nuclear Torricelli,alx,Papunesia,0,-3.47,142.53
251,amol1236,Amoltepec Mixtec,Otomanguean,mbz,North America,0,16.65,-97.45
252,amoo1242,Amo,Atlantic-Congo,amo,Africa,0,10.32,8.65
253,amor1239,Amorite,Afro-Asiatic,,Eurasia,0,34.71,40.72
254,amot1239,Amotomanco,Unclassifiable,,North America,0,,
255,ampa1238,Ampari Dogon,Dogon,aqd,Africa,0,14.15,-3.55
256,ampa1239,Ampanang,Austronesian,apg,Papunesia,0,-0.79,116.35
257,amri1238,Amri Karbi,Sino-Tibetan,ajz,Eurasia,2,26.02,91.48
258,amto1250,Amto,Amto-Musan,amt,Papunesia,0,-4.12,141.34
259,amun1246,Amundava,Tupian,adw,South America,0,-9.04,-62.31
260,anaa1238,Anaang,Atlantic-Congo,anw,Africa,3,4.95,7.58
261,anak1240,Anakalang,Austronesian,akg,Papunesia,0,-9.63,119.61
262,anal1239,Anal,Sino-Tibetan,anm,Eurasia,2,24.05,94.28
263,anam1247,Anam,Nuclear Trans New Guinea,pda,Papunesia,0,-4.69,145.05
264,anam1248,Anamuxra,Nuclear Trans New Guinea,imi,Papunesia,0,-4.64,144.99
265,anam1249,Anambé,Tupian,aan,South America,0,-2.71,-49.3
266,anas1239,Anasi,Bookkeeping,bpo,Papunesia,0,-1.74,137.72
267,anat1248,Ana Tinga Dogon,Dogon,dti,Africa,0,14.67,-3.12
268,anau1243,Anauyá,Arawakan,,South America,0,1.48,-65.41
269,anca1236,Áncá,Bookkeeping,acb,Africa,0,6.67,11.11
270,anci1242,Ionic-Attic Ancient Greek,Indo-European,grc,Eurasia,4,39.82,21.91
271,anci1244,Ancient Hebrew,Afro-Asiatic,hbo,Eurasia,4,31.78,35.17
272,anci1245,Ancient North Arabian,Afro-Asiatic,xna,Eurasia,6,29.04,39.78
273,anci1248,Ancient Ligurian,Unclassifiable,xlg,Eurasia,0,,
274,anci1249,Ancient North Greek,Indo-European,,Eurasia,4,40.83,22.14
275,anda1280,Andaman Creole Hindi,Indo-European,hca,Eurasia,0,11.68,92.74
276,anda1283,Andai,Arafundi,afd,Papunesia,5,-4.96,143.64
277,anda1284,Andarum,Ramu,aod,Papunesia,0,-4.49,144.77
278,anda1286,Andaqui,,ana,South America,0,2.75,-76
279,anda1287,Andalusian Arabic,Afro-Asiatic,xaa,Eurasia,0,36.54,-5.2
280,ande1247,Andegerebinha,Pama-Nyungan,adg,Australia,1,-22.51,137.35
281,andi1255,Andi,Nakh-Daghestanian,ani,Eurasia,11,42.81,46.29
282,andi1257,Andio,Austronesian,bzb,Papunesia,0,-0.88,123.17
283,ando1254,Andoquero,Huitotoan,,South America,0,-0.67,-72.31
284,ando1255,Andoa,Zaparoan,anb,South America,0,-3.3,-76.61
285,ando1256,Andoque,,ano,South America,2,-0.54,-72.09
286,andr1246,Andro,Sino-Tibetan,,Eurasia,0,24.75,94.03
287,andr1248,Andra-Hus,Austronesian,anx,Papunesia,0,-2.06,147.09
288,anei1239,Aneityum,Austronesian,aty,Papunesia,0,-20.19,169.82
289,anem1248,Aneme Wake,Yareban,aby,Papunesia,5,-9.76,148.48
290,anem1249,Anem,,anz,Papunesia,2,-5.55,148.99
291,anfi1235,Anfillo,Ta-Ne-Omotic,myo,Africa,0,8.57,34.65
292,anga1288,Angami Naga,Sino-Tibetan,njm,Eurasia,10,25.68,93.87
293,anga1290,Angaataha,Angan,agm,Papunesia,0,-7.15,146.35
294,anga1292,Angal Heneng,Nuclear Trans New Guinea,akh,Papunesia,3,-6.13,143.48
295,anga1293,Angal,Nuclear Trans New Guinea,age,Papunesia,0,-6.01,143.59
296,anga1294,Angal Enen,Nuclear Trans New Guinea,aoe,Papunesia,1,-6.23,143.58
297,anga1315,Angami Naga Sign Language,Sign Language,,Eurasia,0,25.9,93.72
298,anga1316,Angaité,Lengua-Mascoy,aqt,South America,0,-22.85,-58.45
299,angg1238,Angkamuthi,Pama-Nyungan,avm,Australia,0,-11.44,142.24
300,angg1239,Angguruk Yali,Nuclear Trans New Guinea,yli,Papunesia,0,-4.08,139.46
301,angi1238,Angika,Indo-European,anp,Eurasia,0,26,85.53
302,angl1239,Archaic Angloromani,Indo-European,rme,Eurasia,0,51.75,-2.56
303,,,,,,,,
304,ango1254,Angor,Senagi,agg,Papunesia,2,-3.72,141.2
305,ango1255,Angoram,Lower Sepik,aog,Papunesia,0,-4.08,144.03
306,ango1257,Angosturas Tunebo,Chibchan,tnd,South America,0,6.54,-71.92
307,ango1258,Angolar,Indo-European,aoa,Africa,0,0.11,6.59
308,angu1242,Anguthimri,Pama-Nyungan,awg,Australia,0,-12.39,141.75
309,anii1245,Anii,Atlantic-Congo,blo,Africa,7,9.11,1.6
310,anii1246,//Ani,Khoe-Kwadi,hnh,Africa,0,-19.1,22.91
311,anim1239,Animere,Atlantic-Congo,anf,Africa,0,7.6,0.42
312,anin1240,Anindilyakwa,Gunwinyguan,aoi,Australia,0,-14,136.64
313,anin1242,Aninka,Atlantic-Congo,aqk,Africa,0,9.08,8.51
314,anip1235,Ani Phowa,Sino-Tibetan,ypn,Eurasia,0,23.7,103.6
315,anja1238,Anjam,Nuclear Trans New Guinea,boj,Papunesia,0,-5.46,145.72
316,anka1246,Ankave,Angan,aak,Papunesia,6,-7.19,145.75
317,anma1239,Anmatyerre,Pama-Nyungan,amx,Australia,2,-22.29,133.29
318,anor1241,Anor,Ramu,anj,Papunesia,0,-4.98,144.8
319,anse1238,Anserma,Chocoan,ans,South America,0,6.25,-76.05
320,ansu1237,Ansus,Austronesian,and,Papunesia,0,-1.75,135.87
321,anta1253,Antakarinya,Pama-Nyungan,ant,Australia,0,-27.12,134.84
322,anta1255,Antankarana Malagasy,Austronesian,xmv,Africa,2,-13.22,49.24
323,anti1242,Antioquian,Chibchan,,South America,0,7.2,-75.34
324,anti1245,Antigua and Barbuda Creole English,Indo-European,aig,North America,0,17.07,-61.82
325,anua1242,Anuak,Nilotic,anu,Africa,4,7.58,34.03
326,anuf1239,Anufo,Atlantic-Congo,cko,Africa,0,10.28,0.56
327,anuk1239,Anuki,Austronesian,aui,Papunesia,0,-9.67,149.82
328,anus1237,Korur,Austronesian,auq,Papunesia,0,-2.26,139.5
329,anut1237,Anuta,Austronesian,aud,Papunesia,0,-11.61,169.85
330,anuu1241,Anu-Hkongso,Sino-Tibetan,anl,Eurasia,2,21.5,93.05
331,anyi1244,Anyin Morofo,Atlantic-Congo,mtb,Africa,0,6.16,-4.64
332,anyi1245,Anyin,Atlantic-Congo,any,Africa,11,6.32,-3.31
333,aohe1237,Aoheng-Seputan,Austronesian,pni,Papunesia,2,0.87,114.13
334,aona1235,Ao Naga,Sino-Tibetan,njo,Eurasia,8,26.32,94.38
335,aore1237,Aore,Austronesian,aor,Papunesia,0,-15.58,167.17
336,aoua1234,A'ou,Tai-Kadai,aou,Eurasia,2,26.8,105.85
337,apal1237,Apalachee,Muskogean,xap,North America,0,30.12,-84.42
338,apal1255,Apalik,Austronesian,apo,Papunesia,0,-6.29,149.96
339,apal1256,Apali,Nuclear Trans New Guinea,ena,Papunesia,2,-5.17,145.02
340,apal1257,Apalaí,Cariban,apy,South America,0,1.5,-54.75
341,apas1235,Apasco-Apoala Mixtec,Otomanguean,mip,North America,0,17.61,-97.07
342,apat1240,Apatani,Sino-Tibetan,apt,Eurasia,0,27.19,93.73
343,apia1247,Apiaka-Tocantins,Cariban,,South America,0,-6.5,-49.77
344,apia1248,Apiaká,Tupian,api,South America,0,-7.85,-57.91
345,apin1244,Apinayé,Nuclear-Macro-Je,apn,South America,0,-6.11,-47.63
346,apma1240,Apma,Austronesian,app,Papunesia,2,-15.86,168.19
347,apma1241,Ap Ma,Keram,kbx,Papunesia,1,-4.35,144.09
348,apol1242,Apolista,Arawakan,,South America,0,-14.83,-68.66
349,apot1235,Apoto,Unattested,,South America,0,,
350,apro1235,Aproumu Aizi,Atlantic-Congo,ahp,Africa,0,5.2,-4.52
351,apuc1241,Apucikwar,Great Andamanese,apq,Eurasia,0,12.24,92.8
352,apul1236,Apulia-Calabrian Greek,Indo-European,,Eurasia,2,40.35,18.17
