,Glottocode,Name,Top-level family,ISO-639-3,Macroarea,Child dialects,Latitude,Longtitude
3818,kuwa1252,Kuwaiti Sign Language,Sign Language,,Eurasia,0,29.38,47.98
3819,kuyu1236,Kuyubi,Chapacuran,,South America,0,-11.75,-64
3820,kuyy1240,Kuy,Austroasiatic,kdt,Eurasia,7,14.67,104.91
3821,kven1236,Kven Finnish,Uralic,fkv,Eurasia,0,69.38,29.54
3822,kwaa1262,Baa,Atlantic-Congo,kwb,Africa,2,9.42,11.44
3823,kwaa1265,Kwa',Atlantic-Congo,bko,Africa,2,4.88,10.35
3824,kwaa1269,Kwaami,Afro-Asiatic,ksq,Africa,0,10.41,11.02
3825,kwad1244,Kwadi,Khoe-Kwadi,kwz,Africa,1,-15.87,12.11
3826,kwad1248,Kw'adza,Afro-Asiatic,wka,Africa,0,-4.01,35.18
3827,kwai1243,Kwaio,Austronesian,kwd,Papunesia,0,-8.94,160.97
3828,kwaj1242,Kwaja-Ndaktup,Atlantic-Congo,kdz,Africa,4,6.65,11.06
3829,kwak1264,Kwak,Bookkeeping,kwq,Africa,0,6.67,11.11
3830,kwak1266,Kwakum,Atlantic-Congo,kwu,Africa,4,4.34,13.64
3831,kwak1269,Kwak'wala,Wakashan,kwk,North America,0,50.93,-127.31
3832,kwal1258,Kwalhioqua-Clatskanie,Athabaskan-Eyak-Tlingit,qwt,North America,4,46.11,-123.21
3833,kwam1249,Gwama,Koman,kmq,Africa,2,9.51,34.25
3834,kwam1250,Kwami,Atlantic-Congo,ktf,Africa,0,-1.54,27.46
3835,kwam1251,Kwambi,Atlantic-Congo,kwm,Africa,0,-18.03,15.73
3836,kwam1252,Kwamera,Austronesian,tnk,Papunesia,0,-19.6,169.44
3837,kwam1254,Kwamtim One,Nuclear Torricelli,okk,Papunesia,0,-3.45,141.89
3838,,,,,,,,
3839,kwan1273,Kwangali,Atlantic-Congo,kwn,Africa,0,-17.9,19.26
3840,kwan1276,Kwanja,Atlantic-Congo,knp,Africa,3,6.3,11.69
3841,kwan1278,Kwanga,Sepik,kwj,Papunesia,4,-3.74,142.71
3842,kwan1285,Kwang,Afro-Asiatic,kvi,Africa,8,10.12,16.51
3843,kwan1289,Kwandu,Atlantic-Congo,xdo,Africa,0,-13.8,13.12
3844,kwar1239,Kwara'ae,Austronesian,kwf,Papunesia,0,-8.76,160.8
3845,kwas1243,Kwasio,Atlantic-Congo,nmg,Africa,3,2.39,10.08
3846,kwat1244,Kwato,Nuclear Trans New Guinea,kop,Papunesia,0,-5.54,145.63
3847,kwat1246,Kwatl,Cochimi-Yuman,,North America,0,30.05,-115.39
3848,kway1241,Kwaya,Atlantic-Congo,kya,Africa,1,-1.81,33.71
3849,kwaz1243,Kwaza,,xwa,South America,0,-11.67,-61.18
3850,kweg1241,Kwegu,Surmic,xwg,Africa,2,5.4,36.17
3851,kwer1261,Kwere,Atlantic-Congo,cwe,Africa,0,-6.51,38.44
3852,kwer1263,Kwerba Mamberamo,Greater Kwerba,xwr,Papunesia,0,-2.56,138.44
3853,kwer1264,Kwerisa,Lakes Plain,kkb,Papunesia,0,-2.99,138.13
3854,kwer1265,Kwer,Nuclear Trans New Guinea,kwr,Papunesia,0,-5.02,140.01
3855,kwes1244,Kwese,Atlantic-Congo,kws,Africa,0,-5.6,18.58
3856,kwes1245,Kwesten,Tor-Orya,kwt,Papunesia,0,-2.04,138.85
3857,kwin1241,Kwini,Worrorran,gww,Australia,0,-14.25,126.56
3858,kwin1242,Kwinsu,Tor-Orya,kuc,Papunesia,0,-2.3,139.51
3859,kwin1243,Kwinti,Indo-European,kww,South America,0,5.13,-56.13
3860,kwis1235,Kwisi,Unattested,,Africa,0,,
3861,kwom1262,Kwoma,Sepik,kmo,Papunesia,0,-4.09,142.66
3862,kwom1264,Kwoma-Manambu Pidgin,Pidgin,,Papunesia,0,-4.07,142.84
3863,kxoe1243,Kxoe,Khoe-Kwadi,xuu,Africa,6,-16.59,22.6
3864,kyak1243,Kyak,Atlantic-Congo,bka,Africa,0,9.52,11.28
3865,kyak1244,Kyaka,Nuclear Trans New Guinea,kyc,Papunesia,0,-5.52,144.12
3866,kyen1242,Kyenga,Mande,tye,Africa,0,11.6,3.59
3867,kyen1243,Kyenele,Yuat,kql,Papunesia,0,-4.67,143.85
3868,kyer1238,Kyerung,Sino-Tibetan,kgy,Eurasia,0,28.29,85.43
3869,laad1235,Láadan,Artificial Language,ldn,North America,0,,
3870,laal1241,Láá Láá Bwamu,Atlantic-Congo,bwj,Africa,0,11.65,-3.18
3871,laal1242,Laal,,gdm,Africa,2,10.01,17.61
3872,laar1238,Laari,Atlantic-Congo,ldi,Africa,2,-4.25,14.9
3873,laba1241,Laba,Bookkeeping,lau,Papunesia,0,1.67,127.58
3874,labe1239,Label,Austronesian,lbb,Papunesia,0,-4.47,152.68
3875,labi1244,La'bi,Speech Register,lbi,Africa,0,7.86,15.29
3876,labi1245,Labir,Atlantic-Congo,jku,Africa,0,10.48,9.6
3877,labo1243,Labo Phowa,Sino-Tibetan,ypb,Eurasia,0,23.9,103.4
3878,labo1244,Ninde,Austronesian,mwi,Papunesia,0,-16.43,167.44
3879,labu1248,Labu,Austronesian,lbu,Papunesia,0,-6.75,146.9
3880,labu1249,Labuk-Kinabatangan Kadazan,Austronesian,dtb,Papunesia,4,5.52,117.51
3881,laca1243,Lacandon,Mayan,lac,North America,2,17.02,-91.42
3882,lach1248,Lachi,Tai-Kadai,lbt,Eurasia,2,22.85,104.78
3883,lach1249,Lachixío Zapotec,Otomanguean,zpl,North America,0,16.72,-96.93
3884,lach1250,Lachiguiri Zapotec,Otomanguean,zpa,North America,0,16.58,-95.54
3885,lach1251,Lachirioag Zapotec,Bookkeeping,ztc,,0,,
3886,lada1244,Leh Ladakhi,Sino-Tibetan,lbj,Eurasia,0,33.47,80.6
3887,lada1245,Ladakhi Sign,Artificial Language,,Eurasia,0,,
3888,ladi1250,Ladin,Indo-European,lld,Eurasia,9,46.61,11.89
3889,ladi1251,Ladino,Indo-European,lad,Eurasia,3,41.2,28.66
3890,laek1243,Laeko-Libuat,Nuclear Torricelli,lkl,Papunesia,0,-3.7,142.24
3891,lafo1243,Lafofa,,laf,Africa,3,10.34,30.73
3892,lagh1245,Laghuu,Sino-Tibetan,lgh,Eurasia,0,22.27,103.93
3893,lagh1246,Laghu,Austronesian,lgb,Papunesia,0,-8.01,158.96
3894,lagw1237,Lagwan,Afro-Asiatic,kot,Africa,3,11.56,14.99
3895,laha1250,Laha (Viet Nam),Tai-Kadai,lha,Eurasia,0,21.55,103.86
3896,laha1251,Laha (Indonesia),Austronesian,lhh,Papunesia,0,-3.71,128.07
3897,laha1253,Lahanan,Austronesian,lhn,Papunesia,0,2.73,113.95
3898,laht1236,Lahta Karen,Bookkeeping,kvt,Eurasia,0,20.18,97.38
3899,lahu1250,Lahul Lohar,Indo-European,lhl,Eurasia,0,32.58,77
3900,lahu1252,Lahu Shi,Sino-Tibetan,lhi,Eurasia,0,21.21,100.97
3901,lahu1253,Lahu,Sino-Tibetan,lhu,Eurasia,4,21.27,100.21
3902,lahu1255,Lahu Shi (Retired),Bookkeeping,kds,,0,,
3903,laim1240,Laimbue,Atlantic-Congo,lmx,Africa,0,6.28,10.14
3904,lair1234,Lairamlo,Sino-Tibetan,,Eurasia,0,24.61,94.22
3905,lait1239,Laitu Chin,Bookkeeping,clj,Eurasia,0,,
3906,laiy1246,Laiyolo,Austronesian,lji,Papunesia,2,-6.46,120.48
3907,laka1254,Laka (Chad),Central Sudanic,lap,Africa,5,7.79,16.02
3908,laka1255,Lakalei,Austronesian,lka,Papunesia,0,-8.86,125.72
3909,lake1258,Lake Miwok,Miwok-Costanoan,lmw,North America,0,39,-122.62
3910,lakh1240,Lakha,Sino-Tibetan,lkh,Eurasia,0,27.63,90.33
3911,laki1244,Laki,Indo-European,lki,Eurasia,0,34.01,47.94
3912,lakk1238,Lakkia,Tai-Kadai,lbc,Eurasia,0,24.12,110.11
3913,lakk1252,Lak,Nakh-Daghestanian,lbe,Eurasia,4,42.13,47.08
3914,lako1244,Lakota Dida,Kru,dic,Africa,1,5.86,-5.41
3915,lako1245,Lakon,Austronesian,lkn,Papunesia,0,-14.3,167.43
3916,lako1247,Lakota,Siouan,lkt,North America,1,46.37,-103.95
3917,lako1248,Lakondê,Nambiquaran,lkd,South America,0,-13.2,-60.5
3918,laku1238,Lakuramau,Austronesian,lxm,Papunesia,0,-2.88,151.25
3919,lala1261,Lala-Roba,Atlantic-Congo,lla,Africa,3,9.89,12.17
3920,lala1264,Lala-Bisa,Atlantic-Congo,leb,Africa,6,-12.95,30.23
3921,lala1268,Lala,Austronesian,nrz,Papunesia,0,-8.93,146.75
3922,lala1270,Lalana Chinantec,Otomanguean,cnl,North America,0,17.58,-96.01
3923,lama1275,Lama (Togo),Atlantic-Congo,las,Africa,3,8.67,0.83
3924,lama1277,Lamaholot,Austronesian,slp,Papunesia,12,-8.36,122.8
3925,lama1278,Peripheral Lembata,Austronesian,lmr,Papunesia,9,-8.53,123.44
3926,lama1279,Lamatuka,Austronesian,lmq,Papunesia,0,-8.39,123.59
3927,lama1288,Lamang,Afro-Asiatic,hia,Africa,11,11.02,13.74
3928,lama1289,Lama (Myanmar),Bookkeeping,lay,Eurasia,0,27.62,98.47
3929,lama1290,Lamam,Bookkeeping,lmm,Eurasia,0,14.37,107.34
3930,lamb1269,Lambadi,Indo-European,lmn,Eurasia,3,16.57,76.97
3931,lamb1271,Lamba,Atlantic-Congo,lam,Africa,2,-12.34,27.9
3932,lamb1272,Lambya,Atlantic-Congo,lai,Africa,0,-9.49,33.16
3933,lamb1273,Lamboya,Austronesian,lmy,Papunesia,0,-9.7,119.34
3934,lamb1276,Lambayeque Quechua,Quechuan,quf,South America,2,-6.17,-79.47
3935,lamb1277,Lambichhong,Bookkeeping,lmh,Eurasia,0,27.05,87.22
3936,lame1256,Lamet,Austroasiatic,lbn,Eurasia,2,20.4,100.58
3937,lame1257,Lame,Atlantic-Congo,bma,Africa,3,10.72,8.79
