,Name,Status,Link,Speakers,Glottocode,Country
63,Aer,Definitely endangered,https://en.wal.unesco.org/languages/aer,999,aerr1238,Pakistan
64,Aewa,Not in use,https://en.wal.unesco.org/languages/aewa,0,abis1238,N/A
65,Afade,Definitely endangered,https://en.wal.unesco.org/languages/afade,99999,afad1236,Cameroon
66,Afar,Potentially vulnerable,https://en.wal.unesco.org/languages/afar,9999999,afar1241,N/A
67,Afghan Sign Language,Endangered/unsafe,https://en.wal.unesco.org/languages/afghan-sign-language,999,afgh1239,N/A
68,Afghanistan Gorbat,Unknown,https://en.wal.unesco.org/languages/afghanistan-gorbat,N/A,afgh1240,N/A
69,Afitti,Definitely endangered,https://en.wal.unesco.org/languages/afitti,999,afit1238,Sudan
70,Afrikaans,Potentially vulnerable,https://en.wal.unesco.org/languages/afrikaans,999999999,afri1274,N/A
71,Afro-Seminole Creole,Critically endangered,https://en.wal.unesco.org/languages/afro-seminole-creole,999,afro1254,N/A
72,Afudu,Not in use,https://en.wal.unesco.org/languages/afudu,0,afud1235,N/A
73,Agarabi,Endangered/unsafe,https://en.wal.unesco.org/languages/agarabi,99999,agar1252,N/A
74,Agariya,Endangered/unsafe,https://en.wal.unesco.org/languages/agariya,99999,agar1251,N/A
75,Agatu,Endangered/unsafe,https://en.wal.unesco.org/languages/agatu,99999,agat1236,N/A
76,Agavotaguerra,Not in use,https://en.wal.unesco.org/languages/agavotaguerra,0,agav1236,N/A
77,Aghem,Endangered/unsafe,https://en.wal.unesco.org/languages/aghem,99999,aghe1239,Cameroon
78,Aghu,Definitely endangered,https://en.wal.unesco.org/languages/aghu,9999,aghu1255,N/A
79,Aghu Tharnggalu,Not in use,https://en.wal.unesco.org/languages/aghu-tharnggalu,0,aghu1254,N/A
80,Aghul,Definitely endangered,https://en.wal.unesco.org/languages/aghul,99999,aghu1253,Russian Federation
81,Aghwan,Not in use,https://en.wal.unesco.org/languages/aghwan,0,aghw1237,N/A
82,Agi,Definitely endangered,https://en.wal.unesco.org/languages/agi,999,agii1245,N/A
83,Agob-Ende-Kawam,Endangered/unsafe,https://en.wal.unesco.org/languages/agob-ende-kawam,9999,agob1244,N/A
84,Agoi,Endangered/unsafe,https://en.wal.unesco.org/languages/agoi,99999,agoi1246,N/A
85,Agta-Pahanan,Endangered/unsafe,https://en.wal.unesco.org/languages/agta-pahanan,9999,agta1234,N/A
86,Aguacateco,Endangered/unsafe,https://en.wal.unesco.org/languages/aguacateco,9999,agua1252,N/A
87,Aguano,Not in use,https://en.wal.unesco.org/languages/aguano,0,agua1251,N/A
88,Aguaruna,Endangered/unsafe,https://en.wal.unesco.org/languages/aguaruna,99999,agua1253,Peru
89,Aguna,Definitely endangered,https://en.wal.unesco.org/languages/aguna,99999,agun1238,Benin
90,Agusan Manobo,Endangered/unsafe,https://en.wal.unesco.org/languages/agusan-manobo,99999,agus1235,Philippines
91,Agutaynen,Endangered/unsafe,https://en.wal.unesco.org/languages/agutaynen,99999,agut1237,Philippines
92,Agwagwune,Endangered/unsafe,https://en.wal.unesco.org/languages/agwagwune,99999,agwa1247,N/A
93,Àhàn,Definitely endangered,https://en.wal.unesco.org/,N/A,N/A,N/A
94,Àhàn,Definitely endangered,https://en.wal.unesco.org/languages/ahan,999,ahan1244,N/A
95,Ahanta,Potentially vulnerable,https://en.wal.unesco.org/languages/ahanta,999999,ahan1243,N/A
96,Ahin-Kayapa Kalanguya,Endangered/unsafe,https://en.wal.unesco.org/languages/ahin-kayapa-kalanguya,99999,ahin1234,Philippines
97,Ahom,Not in use,https://en.wal.unesco.org/languages/ahom,0,ahom1240,N/A
98,Ahtena,Critically endangered,https://en.wal.unesco.org/languages/ahtena,99,ahte1237,N/A
